GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under .50,Margin of Error; Total: - Under .50,Estimate; Total: - .50 to .99,Margin of Error; Total: - .50 to .99,Estimate; Total: - 1.00 to 1.24,Margin of Error; Total: - 1.00 to 1.24,Estimate; Total: - 1.25 to 1.49,Margin of Error; Total: - 1.25 to 1.49,Estimate; Total: - 1.50 to 1.84,Margin of Error; Total: - 1.50 to 1.84,Estimate; Total: - 1.85 to 1.99,Margin of Error; Total: - 1.85 to 1.99,Estimate; Total: - 2.00 and over,Margin of Error; Total: - 2.00 and over
1400000US44005041000,44005041000,"Census Tract 410, Newport County, Rhode Island",1719,307,156,84,161,89,105,91,24,30,34,54,0,13,1239,281
1400000US44005041100,44005041100,"Census Tract 411, Newport County, Rhode Island",1437,224,130,59,66,40,38,38,8,12,40,34,40,44,1115,223
1400000US44005041200,44005041200,"Census Tract 412, Newport County, Rhode Island",491,201,28,25,65,54,23,30,111,130,9,12,54,85,201,116
1400000US44005041300,44005041300,"Census Tract 413, Newport County, Rhode Island",5420,18,576,391,177,140,51,46,75,64,100,107,0,18,4441,477
1400000US44005041400,44005041400,"Census Tract 414, Newport County, Rhode Island",3491,18,96,65,117,79,19,21,32,38,152,95,0,13,3075,143
1400000US44005041601,44005041601,"Census Tract 416.01, Newport County, Rhode Island",2977,304,93,67,153,85,297,266,193,164,173,135,0,13,2068,298
1400000US44005041602,44005041602,"Census Tract 416.02, Newport County, Rhode Island",4317,251,52,58,88,68,38,30,117,100,153,181,16,26,3853,279
1400000US44005041701,44005041701,"Census Tract 417.01, Newport County, Rhode Island",3294,207,28,29,118,106,48,47,63,50,74,54,51,32,2912,241
1400000US44005041702,44005041702,"Census Tract 417.02, Newport County, Rhode Island",5086,306,79,100,121,104,126,100,98,64,498,322,105,113,4059,363
1400000US44005990000,44005990000,"Census Tract 9900, Newport County, Rhode Island",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US44007000101,44007000101,"Census Tract 1.01, Providence County, Rhode Island",3753,532,324,168,347,191,220,200,414,310,378,308,46,53,2024,469
1400000US44007000102,44007000102,"Census Tract 1.02, Providence County, Rhode Island",4839,501,585,274,676,373,412,254,265,148,424,223,47,46,2430,442
1400000US44007000200,44007000200,"Census Tract 2, Providence County, Rhode Island",5685,726,1202,508,1047,394,237,223,345,226,539,401,40,64,2275,597
1400000US44007000300,44007000300,"Census Tract 3, Providence County, Rhode Island",8009,1233,1012,478,501,260,945,520,1813,1043,876,500,168,195,2694,957
1400000US44007000400,44007000400,"Census Tract 4, Providence County, Rhode Island",4008,462,568,295,1091,325,70,69,342,156,523,332,278,232,1136,312
1400000US44007000500,44007000500,"Census Tract 5, Providence County, Rhode Island",3159,734,720,555,1177,593,159,129,84,78,381,305,0,13,638,184
1400000US44007000600,44007000600,"Census Tract 6, Providence County, Rhode Island",1970,289,388,245,134,229,302,247,166,163,147,104,45,69,788,339
1400000US44007000700,44007000700,"Census Tract 7, Providence County, Rhode Island",2508,313,807,292,787,301,281,230,84,141,49,45,78,73,422,109
1400000US44007000800,44007000800,"Census Tract 8, Providence County, Rhode Island",2287,248,607,235,359,126,144,88,166,77,122,74,0,13,889,170
1400000US44007000900,44007000900,"Census Tract 9, Providence County, Rhode Island",1868,306,406,186,361,148,121,75,182,111,87,79,64,50,647,173
1400000US44007001000,44007001000,"Census Tract 10, Providence County, Rhode Island",2594,505,181,109,576,370,216,176,86,79,94,61,22,37,1419,425
1400000US44007001100,44007001100,"Census Tract 11, Providence County, Rhode Island",2356,359,194,100,282,116,145,75,100,100,512,245,53,50,1070,283
1400000US44007001200,44007001200,"Census Tract 12, Providence County, Rhode Island",2605,373,635,322,771,295,271,205,178,122,145,86,56,93,549,207
1400000US44007001300,44007001300,"Census Tract 13, Providence County, Rhode Island",4758,603,577,334,873,314,663,340,568,330,407,200,126,173,1544,350
1400000US44007001400,44007001400,"Census Tract 14, Providence County, Rhode Island",6979,824,1633,562,983,373,271,196,1014,553,364,253,178,201,2536,658
1400000US44007001500,44007001500,"Census Tract 15, Providence County, Rhode Island",3020,350,102,73,173,141,24,36,180,163,320,145,186,133,2035,444
1400000US44007001600,44007001600,"Census Tract 16, Providence County, Rhode Island",8913,857,972,388,1837,712,971,699,629,353,1072,411,114,114,3318,652
1400000US44007001700,44007001700,"Census Tract 17, Providence County, Rhode Island",3555,395,349,183,572,257,166,84,474,366,414,244,126,102,1454,318
1400000US44007001800,44007001800,"Census Tract 18, Providence County, Rhode Island",6566,801,960,334,745,294,445,283,763,431,191,198,627,501,2835,653
1400000US44007001900,44007001900,"Census Tract 19, Providence County, Rhode Island",5307,833,656,313,1304,522,336,341,500,312,492,305,427,266,1592,427
1400000US44007002000,44007002000,"Census Tract 20, Providence County, Rhode Island",5975,558,912,355,1010,519,500,328,522,261,463,260,177,212,2391,437
1400000US44007002101,44007002101,"Census Tract 21.01, Providence County, Rhode Island",2884,440,212,127,133,148,168,137,300,380,305,224,50,44,1716,329
1400000US44007002102,44007002102,"Census Tract 21.02, Providence County, Rhode Island",5214,851,696,357,213,145,338,243,279,216,436,393,384,403,2868,820
1400000US44007002200,44007002200,"Census Tract 22, Providence County, Rhode Island",5018,686,748,332,1025,469,315,198,434,267,279,199,311,234,1906,446
1400000US44007002300,44007002300,"Census Tract 23, Providence County, Rhode Island",4539,573,668,306,303,189,368,313,150,149,311,315,68,67,2671,420
1400000US44007002400,44007002400,"Census Tract 24, Providence County, Rhode Island",4948,328,166,97,96,83,221,141,244,200,205,118,0,18,4016,429
1400000US44007002500,44007002500,"Census Tract 25, Providence County, Rhode Island",2687,366,399,214,432,270,129,134,286,180,144,119,15,18,1282,320
1400000US44007002600,44007002600,"Census Tract 26, Providence County, Rhode Island",3096,443,391,218,569,268,459,289,217,163,320,219,211,221,929,264
